Cau_hoi,Dap_an_A,Dap_an_B,Dap_an_C,Dap_an_D,Dap_an_dung
Câu 1,Always keep this door open.,Do not park in front of this entrance.,Permission is needed to park here.,Only use this entrance in an emergency.,B
Câu 2,Drinks cannot be ordered at the bar.,Use this machine when the bar is closed.,There is a drinks machine in the bar.,This machine is not working at the moment.,D
Câu 3,The librarian needs to see your books before you go.,Make sure you take all your books with you.,Return your books before you leave the library.,The librarian will show you where to put your books.,A
Câu 4,This room cannot be used at present.,This door must always be kept locked.,Lock the room when it is not being used.,Keep the key to this door in the room.,C
Câu 5,Supersaver tickets can be used every day except Fridays.,You need a special ticket to travel on a Friday.,Supersaver tickets cannot be bought before the weekend.,You can save money by traveling on a Friday.,A
Câu 6,Do not forget to put your luggage outside your room.,Keep the corridor clear of luggage.,Bags left in the corridor will be removed.,Bags will be collected from the corridor.,B
Câu 7,Wait upstairs to see the nurse.,Go upstairs to make an appointment with the nurse.,The nurse will tell you when it is your turn.,The nurse can only see patients with appointments.,D
Câu 8,Do not touch the fruit before paying for it.,Damaged fruit must be paid for.,Self-service fruit is cheaper.,Choose your fruit and then pay for it.,D
Câu 9,Please be quiet while people are taking their examination.,Do not talk to the examiner.,Do not speak during the examination.,The examiner will tell you when you can talk.,A
Câu 10,Bring your computer here for repairs.,We will not mend computers bought from other shops.,We charge to repair computers not bought here.,Computers bought here never need repairing.,B
Câu 11,The entrance to the bank is through the library.,The travel agency has moved its entrance.,The library is now a travel agency.,The travel agency is no longer open.,B
Câu 12,This list shows who has been chosen to go on the trip.,This list should be signed by people wanting to go on the trip.,Check the list for information if you are going on the trip.,"If you find your name on this list, you can go on the trip.",B
Câu 13,The new ticket office is now open.,There will be two ticket offices after 17 September.,This ticket office will be closed for one day.,This ticket office will be closed on 16 September.,D
Câu 14,"If you spend less than £10, you cannot pay by credit card.",We prefer cash for large sales.,We make a charge if you pay by credit card.,"If you spend more than £10, you must pay by credit card.",A
Câu 15,Dogs must wait outside.,Dogs must walk with their owners.,Dogs must be kept on a chain.,Dogs must be held.,D
Câu 16,Everything is cheaper this week.,No extra charges next week.,Usual prices this week.,Cheaper prices next week.,A
Câu 17,You can send your groceries from here.,You can store your groceries here.,You can get your free groceries here.,You can have your groceries sent to you.,D
Câu 18,Cleaning now costs twice as much.,Cleaning costs are now cheaper.,Cleaning costs are going up.,Cleaning costs will stay the same.,B
Câu 19,You must pay to park here.,If you use the train you can park here.,This space is for railway officials.,No one is allowed to park here.,B
Câu 20,You can buy your ticket during the journey.,You pay when you get off.,You have to book a seat before traveling.,You have to buy a ticket before your journey.,D
Câu 21,Passengers are allowed to change their seats.,Passengers are allowed to eat snacks on the bus.,Passengers can make noise on the bus.,Passengers have to follow the bus rules.,D
Câu 22,Knock the door if you want to enter when it does not often.,Open the door when you want to enter.,You are not allowed to enter when the door does not open.,You are not allowed to enter if the door is open.,C
Câu 23,It’s unsafe to go ahead because the area is flooding.,You will be drown if you turn around.,You should go ahead if you want to avoid flooding area.,"If you can swim, you can go ahead.",A
Câu 24,This is dogs’ play area.,Children can play with dogs in this area.,Dogs are not allowed to enter this area.,People can take their dogs with them in this area.,C
Câu 25,People must wear long sleeve shirt and trousers in this area.,People must wear casual clothes in this area except long sleeve shirt and trousers.,People have to wear formal clothes in this area except long sleeve shirt and trousers.,Long sleeve shirt and trousers should be worn in this area.,A
Câu 26,Pay attention to the kids when you are playing.,You have to slow down your speed and be careful when you are driving in this area.,You are not allowed to drive in this area.,Driving is prohibited in this area.,B
Câu 27,This area is for smoking only.,This area is for eating only.,This area is for drinking only.,"You are not allowed to smoke, eat and drink in this area.",D
Câu 28,Only adults are permitted to drink alcohol on this site.,People under 18 are not allowed to drink alcohol on this site.,No one can drink alcohol on this site.,You are permitted to buy alcohol on this site.,C
Câu 29,People will give you a free drive when they see this sign.,Drivers won’t stop when you want to hitchhike here.,You are allowed to hitchhike when you see this sign.,Hitch hiking is accepted here.,B
Câu 30,Parents and visitors are free to enter the school.,Visitors have to sign in at the office to enter the school.,Parents don’t have to sign in at the office to enter the school.,All parents and visitors have to sign in to receive a pass at the office in order to enter the school.,D
Câu 31,Students can use their cell phones outside the school campus.,Students are allowed to use cell phones in the school campus.,Students have to submit their cell phones at the school gate before they enter the school campus.,Parents should keep their children’s cell phones before their children enter the school.,A
Câu 32,There is no parking left in this area.,This parking zone is used only for buses.,Bus drivers are not allowed to stop here.,This parking zone is used only for loading goods.,B
Câu 33,It won’t hurt if you are falling down.,This area of work is safe.,You will be in danger of falling if you don’t work at a safe distance and don’t use safety belt.,You don’t need to use a safety belt when you work on this site.,C
Câu 34,Drivers can park in this area after 6 PM on Saturday and Sunday.,Parking time in this area is from 7 AM to 6 PM Monday to Friday.,Drivers are allowed to park their cars in this area before 7 AM and after 6 PM.,Parking is not allowed in this area from 7 AM to 6 PM Monday through Friday.,D
Câu 35,Avoid smoking and naked lights because this area is highly flammable.,This is a non-smoker area.,Naked lights aren’t allowed to be used in this area.,Smokers should use naked lights to light their cigarettes in this area.,A
Câu 36,We cannot deliver papers over the weekend.,We plan to stop delivering papers five days from now.,You must tell us five days early if you don’t want papers.,Please tell us if you don’t want papers at the weekend.,C
Câu 37,Accident patients are not admitted here.,The emergency department is closed.,This hospital only accepts accident patients.,Contact this hospital in an emergency.,A
Câu 38,Family tickets save time.,Family tickets save money.,Family tickets may be more expensive.,Family tickets have gone down in price.,B
Câu 39,Many people don’t want a motorway.,Building the motorway starts today.,People are going to talk about building a motorway.,Everyone travelling on the motorway should meet here.,C
Câu 40,You cannot bring your luggage into the dining room.,You must look after your things yourself.,You should give your things to the manager.,You should lock things in your suitcase.,B
