Cau_hoi,Dap_an_A,Dap_an_B,Dap_an_C,Dap_an_D,Dap_an_dung
"Tim ______ the news, while his son was playing computer games.",is watching,watches,was watching,watching,C
Lenny ______ his old house two months ago.,were selling,sells,is selling,sold,D
"He didn’t meet Joe and Alf, because they left ______ than they usually do.",early,earlier,earliest,the earliest,B
______ you finish your report on time?,Was,Are,Did,Were,C
"I was resting all day yesterday, because I was ______ tired.",terrible,most terrible,terribly,more terribly,C
Robert was crossing the street when he ______ Fred riding a motorcycle.,saw,was seeing,seeing,is seeing,A
This artist is ______ famous of all three that you mentioned.,the less,least,less,the least,D
That’s the boy ______ father is our teacher.,who,which,whose,that,C
Can you tell me ______ to put these boxes?,where,when,which,who,A
"Mark, ______ is only twenty, teaches French.",which,who,when,whose,B
My doctor advised me to ______ a sport.,take off,take after,take up,take on,C
I can’t believe that they ______ your offer.,turned on,turned off,turned out,turned down,D
"When I suggested a walk in the woods, he ______.",credited,nodded,raised,shook,B
"After his mother’s ______, he moved to Argentina.",death,strength,power,impression,A
It was really ______ that nobody was hurt in that accident.,strong,powerful,incredible,truthful,C
Both my children are afraid ______ the dark.,of,for,on,with,A
They did everything in their ______ to keep the company.,truth,strength,impression,power,D
I bought a leather bag that ______ my new boots.,match,matches,suits,suit,B
Both her children have a very vivid ______.,description,impression,admiration,imagination,D
I’ve got the ______ that they’re lying again.,impression,admiration,imagination,description,A
Teddy ______ of moving closer to the city centre.,thinks,is thinking,don’t think,aren’t thinking,B
We ______ giving you a lift home.,don’t mind,aren’t minding,doesn’t mind,isn’t minding,A
The Potters ______ to Dubai at 9:00 tomorrow morning.,is flying,don’t fly,doesn’t fly,are flying,D
______ is your favorite European city?,When,How,Which,Who,C
______ much do they charge for a single room with breakfast?,How,Who,What,Where,A
______ is your brother talking to?,When,Who,Whose,How,B
The teacher ______ believe his excuse for not coming to school yesterday.,didn’t,don’t,used to not,use to,A
Bobby ______ skinny when he was a child.,was used to,were,used to be,got used,C
"I ______ to contact Mr. Peterson twice, but didn’t find him.",tried,tries,used to try,try,A
"After a couple of days, Sam finally ______ up early in the morning.",used to wake,get used to wake,wake,got used to waking,D
It took him a month to recover ______ his illness.,for,from,of,at,B
The book exhibition took ______ at the Carlton Hotel.,part,advantage,it easy,place,D
I didn’t ______ Jason to come on time.,expect,remember,wait,reminded,A
I’m sorry but I can’t find it ______ the map.,over,on,between,along,B
They spent the whole day in Alexandria looking at the ______.,tasks,part,jobs,sights,D
He was lucky to find that ______ in their law firm.,job,work,site,task,A
I think that these trainers belong ______ your brother.,on,in,to,at,C
They usually take ______ of what I tell them.,their time,part,place,no notice,D
We never argue ______ our teacher.,with,at,on,from,A
This dish is very healthy because it consists ______ fish and vegetables.,on,of,at,with,B
"At this time tomorrow, Gerry ______ his driving test.",shall take,going to take,shall have taken,will be taking,D
Henry ______ a shower as soon as he finishes cleaning his room.,will have had,will have,have,is having,B
Will you ______ painting the house by tomorrow?,finished,going to fish,have finished,finishing,C
Those cars are going really fast. There ______ an accident.,is,will have been,is going to be,going to be,C
They could take better pictures if they ______ a digital camera.,would have,will have,had,are going to have,C
"If I ______ by the sea, I would go fishing every day.",lived,would live,live,will be living,A
"Could I have ______ more apple juice, please?",no,some,any,many,B
I can’t drink this tea. There’s too ______ sugar in it.,much,plenty,many,lot of,A
How ______ teachers were there at the seminar yesterday?,some,many,any,much,B
Don’t leave. There are ______ more things I want to tell you.,few,any,little,a few,D
"He finished my portrait yesterday, but he’s putting ______ at the moment.",it mildly,the final touches,ideas into my head,an end to,B
Do you think you could put ______ with the head teacher?,an end to,it mildly,the final touches,in a good word for me,D
I finally ______ trying to make him change his mind.,gave up,gave out,gave back,gave off,A
They told me to ______ these leaflets.,give off,give out,give up,give in to,B
They ______ the meeting because the chairman had to leave.,showed off,paid off,got off,put off,D
Andy loves ______ his brand-new sports car.,giving off,putting off,showing off,cooling off,C
I broke my leg as I was ______ the bus yesterday morning.,cooling off,giving off,paying off,getting off,D
"According ______ Ned, that’s the best Chinese restaurant in the city.",of,in,at,to,D
"Unfortunately, he didn’t succeed ______ getting the job after all.",in,on,for,at,A
Matt worked so hard that he finally made ______.,haste,it to the top,the most of,difficult,B
The Carltons have never ______ Denmark before.,been to,gone to,gone in,been at,A
Have you ______ thought of studying abroad?,since,before,never,ever,D
Danny ______ tennis since he was a child.,played,plays,been playing,has been playing,D
It has been raining heavily ______ our plane took off two hours ago.,while,already,since,still,C
Mr. Marfin ______ go on business trips very often.,need,needs,doesn’t have,has to,D
We can’t meet Jack today. We ______ to work overtime.,have,must,had better,would rather,B
I’d ______ join you for dinner than stay at home.,rather,had better,need,must,A
"Luckily, we ______ wait for them. We can leave right now.",don’t have,don’t need,needn’t,not have to,A
She ______ still be at home. I talked to her on the phone a couple of minutes ago.,has to,better,must,needs,C
I ______ see an optician. I can’t see very clearly lately.,would rather,may not,might not,had better,D
My brother came ______ the flu last week and hasn’t recovered yet.,across,apart,up with,down with,D
Why don’t you ask Felix? He always comes ______ great ideas.,off,up with,down with,apart,B
They haven’t cleaned their attic ______.,for ages,in the future,in common,out of the ordinary,A
I really had no intention ______ insulting your father.,of,for,on,at,A
They aren’t interested ______ buying Steve’s country house.,to,on,in,for,C
We must ______ into consideration everything he said.,regard,give,think,take,D
We’re looking ______ seeing our grandparents.,after,out,over,forward to,D
Brad ______ his best to please his guests yesterday evening.,took,did,brought,made,B
Eating more fruit and vegetables will do you ______.,badly,well,good,best,C
I’m afraid that the new sales representative doesn’t ______ the manager.,get by,get through,get across,get on well with,D
I could ______ killed if the driver hadn’t stopped quickly.,have,have been,to have,to have been,B
"If the meat ______ so tough, the children would have eaten it.",hadn’t been,hasn’t been,wouldn’t be,wouldn’t have been,A
"If you hadn’t helped me, I ______ finished on time.",didn’t,wouldn’t,wouldn’t be,wouldn’t have,D
He wouldn’t have believed me if he ______ it with his own eyes.,haven’t seen,wouldn’t see,hadn’t seen,hadn’t been seen,C
I wish I ______ answer all his questions.,can,could,had,have to,B
If only the fire brigade ______ earlier.,arrives,has arrived,was arriving,had arrived,D
He wishes he ______ so many mistakes.,made,hadn’t made,hasn’t made,had made,B
______ these two books have the information I need.,None,Not any,Neither of,Not of,C
______ Ian and Gerry took part in the competition.,Both,Either,Neither,All,A
______ four of my friends have their own computer.,None,All,Either,Both,B
"I thought I knew him very well, but it would never have gone ______ that he would decide to live abroad.",wild,red,bananas,through my mind,D
Liam and Ken have checked it. I’m sure nothing can ______.,go wrong,go wild,go red,go over the top,A
Dean is very shy. He always goes ______ when somebody talks to him.,bad,red,wrong,through his mind,B
It’s very hot in here. Don’t leave the fish out of the fridge because it will ______.,go wild,go bananas,go bad,go over the top,C
"At ______, you’ve got your own bedroom now that you moved house.",last,late,lately,later,A
I’ve noticed that Helen hasn’t been feeling very well ______.,latest,later,late,lately,D
I try not to have dinner ______ at night.,last,late,latest,least,B
You could at ______ phone me to let me know that you wouldn’t come.,later,late,least,latest,C
